gc_id,segment,model,horizon,baseline_value,feature_name,feature_value,shap_value,abs_shap,contribution_pct,direction,feature_rank
191441,GPU,LSTM,T+4,56.8257,fmv_lag_2m,27.25556,0.6315,0.6315,16.57,up,1
191441,GPU,LSTM,T+4,56.8257,roll_std_6m,1.826401,0.4262,0.4262,11.19,up,2
191441,GPU,LSTM,T+4,56.8257,fmv_lag_1m,24.483622,-0.3139,0.3139,8.24,down,3
191441,GPU,LSTM,T+4,56.8257,pct_from_roll_mean_12,-8.318542,-0.2837,0.2837,7.44,down,4
191441,GPU,LSTM,T+4,56.8257,roll_mean_6m,25.419487,-0.2282,0.2282,5.99,down,5
191441,GPU,LSTM,T+4,56.8257,roll_std_12m,2.455014,-0.2001,0.2001,5.25,down,6
191441,GPU,LSTM,T+4,56.8257,roll_std_3m,1.93,-0.1748,0.1748,4.59,down,7
191441,GPU,LSTM,T+4,56.8257,months_elapsed,45.0,0.1668,0.1668,4.38,up,8
191441,GPU,LSTM,T+4,56.8257,gpu_type_enc,1.0,-0.166,0.166,4.36,down,9
191441,GPU,LSTM,T+4,56.8257,fmv_lag_12m,19.93224,-0.1497,0.1497,3.93,down,10
191443,GPU,LSTM,T+4,55.9637,mom_6m,20.162712,-0.542,0.542,13.41,down,1
191443,GPU,LSTM,T+4,55.9637,capacity_gb,8.0,-0.3763,0.3763,9.31,down,2
191443,GPU,LSTM,T+4,55.9637,roll_mean_12m,34.924473,0.3598,0.3598,8.9,up,3
191443,GPU,LSTM,T+4,55.9637,trend_r2,0.550966,-0.2902,0.2902,7.18,down,4
191443,GPU,LSTM,T+4,55.9637,mom_1m,27.88176,0.2762,0.2762,6.83,up,5
191443,GPU,LSTM,T+4,55.9637,month_cos,-0.0,0.2686,0.2686,6.65,up,6
191443,GPU,LSTM,T+4,55.9637,roll_mean_3m,46.003281,-0.2419,0.2419,5.98,down,7
191443,GPU,LSTM,T+4,55.9637,fmv_lag_3m,50.348335,-0.1845,0.1845,4.56,down,8
191443,GPU,LSTM,T+4,55.9637,roll_std_3m,6.465528,0.1475,0.1475,3.65,up,9
191443,GPU,LSTM,T+4,55.9637,fmv_lag_1m,38.573051,0.1455,0.1455,3.6,up,10
191445,GPU,LSTM,T+4,57.299,mom_6m,52.502602,-0.3338,0.3338,11.06,down,1
191445,GPU,LSTM,T+4,57.299,roll_std_12m,8.601089,-0.2809,0.2809,9.31,down,2
191445,GPU,LSTM,T+4,57.299,fmv_lag_6m,23.296659,0.2291,0.2291,7.59,up,3
191445,GPU,LSTM,T+4,57.299,roll_mean_3m,21.803797,0.2088,0.2088,6.92,up,4
191445,GPU,LSTM,T+4,57.299,pct_from_roll_mean_12,35.165863,0.2038,0.2038,6.75,up,5
