gc_id,category,latest_fmv,recent_3m_change,recent_6m_change,volatility,trend_slope_pct,trend_r_squared,trend_p_value,n_months,fmv_mean,fmv_median,fmv_std,fmv_min,fmv_max,manufacturer,model_name,model_number,type,region,capacity
191441,GPU,26.268,38.69,-3.62,26.8801,-1.5675,0.3288,0.0,50,31.6177,26.1487,12.4723,18.7096,78.2,Nvidia,GRID,K1,GDDR3,US,16GB
191443,GPU,26.5694,-47.44,-45.87,25.9966,-0.7015,0.1428,0.0068,50,42.0718,40.1104,11.2697,20.6605,72.0,Nvidia,GRID,K2,GDDR5,US,8GB
191445,GPU,36.2108,37.92,35.37,47.0106,-0.6086,0.128,0.0108,50,31.2974,31.6849,7.684,9.893,55.5352,Nvidia,Tesla,K10,GDDR5,US,8GB
191447,GPU,20.9912,-39.28,-9.62,43.6255,-0.63,0.0803,0.0462,50,36.8278,36.0643,11.8184,19.291,74.5798,Nvidia,Tesla,K20X,GDDR5,US,6GB
191450,GPU,48.5505,37.79,4.1,17.946,-0.2941,0.1125,0.0173,50,44.7291,45.6077,5.6601,32.2867,69.6532,Nvidia,Tesla,K40,GDDR5,US,12GB
191452,GPU,53.2728,1.39,8.67,13.0147,-0.8249,0.211,0.0008,50,59.5787,53.9329,15.4381,40.4,102.4167,Nvidia,Tesla,K80,GDDR5,US,24GB
191453,GPU,120.398,-23.6,-46.91,15.873,0.3232,0.0322,0.2127,50,137.2079,137.2347,35.6904,69.4249,226.7818,Nvidia,Tesla,M40,GDDR5,US,24GB
191455,GPU,53.8626,-15.98,-18.38,12.1609,-4.4171,0.8371,0.0,50,208.2143,134.7143,145.0646,51.4569,395.4761,Nvidia,Tesla,M60,GDDR5,US,16GB
191457,GPU,82.3594,21.06,18.73,13.887,-1.7199,0.5264,0.0,50,117.2682,110.4064,40.1161,63.1149,239.629,Nvidia,Tesla,M10,GDDR5,US,32GB
191459,GPU,202.2688,-27.7,-51.57,35.494,1.3073,0.2174,0.0006,50,231.3142,220.1811,93.5924,65.5022,435.4389,Nvidia,Tesla,P40,GDDR5,US,24GB
191461,GPU,103.716,-12.32,-38.37,27.8452,-1.1311,0.4017,0.0,50,179.478,175.6466,46.2239,85.5384,340.625,Nvidia,Tesla,P100,GDDR5,US,16GB
191462,GPU,294.8903,-19.13,-47.6,27.4997,-1.3839,0.4142,0.0,50,587.3928,595.1694,182.2863,290.5454,904.3793,Nvidia,Tesla,V100,GDDR6,US,16GB
191464,GPU,71.5925,-8.19,-31.79,16.3456,-0.8069,0.2174,0.0006,50,127.6684,137.51,31.8845,71.5925,215.3333,AMD,Radeon Instinct,MI25,GDDR5,US,16GB
191471,GPU,22.5417,9.77,7.46,6.779,0.0135,0.0015,0.7878,50,21.1396,21.1418,1.0559,18.3028,25.4614,Nvidia,Quadro,K620,DDR3,US,2GB
191479,GPU,606.1035,-2.22,2.78,11.2547,-0.5235,0.2886,0.0001,50,666.2157,642.3114,93.6963,499.7223,842.875,Nvidia,Tesla,T4,GDDR6,US,16GB
191480,GPU,9.674,-9.48,-9.02,42.5475,-2.2789,0.4334,0.0,50,23.3258,19.5585,11.6518,9.674,61.7313,Nvidia,NVS,315,GDDR3,US,1GB
191481,GPU,9.77,0.0,0.0,88.1575,-4.6138,0.54,0.0,50,48.1186,32.7303,43.5976,8.7647,141.2062,Nvidia,NVS,315,GDDR3,US,1GB
191482,GPU,15.6503,-2.27,-2.8,8.6928,-0.0408,0.0058,0.5986,50,15.5478,15.557,1.1991,13.5875,21.3333,Nvidia,Quadro,K420,DDR3,US,2GB
191484,GPU,146.445,-14.21,-10.72,11.604,-1.0436,0.5478,0.0,50,210.7927,213.198,42.8935,142.4455,310.8958,Nvidia,Quadro,P4000,GDDR5,US,8GB
191485,GPU,44.55,29.4,18.12,23.8382,0.4271,0.051,0.1148,50,28.95,29.3696,7.9009,15.15,50.0,Nvidia,Tesla,M2090,GDDR5,US,6GB
191487,GPU,30.3,24.83,6.38,28.0088,-0.5355,0.1419,0.007,50,30.5469,29.5136,6.2661,15.4917,43.3269,Nvidia,Tesla,K20,GDDR5,US,5GB
191495,GPU,3981.5128,9.51,-5.4,5.7234,-0.0186,0.0016,0.7834,50,3843.6196,3838.9042,258.3375,3261.5771,4322.4167,Nvidia,RTX,A6000,GDDR6,US,48GB
191500,GPU,1010.0,-1.96,-13.85,6.2571,0.1077,0.0308,0.2231,50,994.5961,994.2301,88.1778,765.075,1278.4992,Nvidia,RTX,A4500,GDDR6,US,20GB
191502,GPU,484.3881,8.29,14.22,3.955,-0.0196,0.0019,0.764,50,431.6603,429.2325,28.034,374.7404,502.0714,Nvidia,RTX,A2000,GDDR6,US,12GB
191504,GPU,348.4129,7.77,15.01,28.4852,-1.7371,0.4468,0.0,50,471.1806,458.1867,176.7038,234.5269,940.1061,Nvidia,Quadro,M6000,GDDR5,US,24GB
191505,GPU,97.9922,-2.15,13.92,13.5601,-0.8337,0.3372,0.0,50,116.678,107.2083,24.1756,80.4406,209.5556,Nvidia,Quadro,M5000,GDDR5,US,8GB
191507,GPU,118.3136,22.37,18.62,16.2764,-1.0987,0.3525,0.0,50,140.6246,131.3434,37.555,92.736,236.05,Nvidia,Quadro,K6000,GDDR5,US,12GB
