model,segment,horizon,split,n,mape_median,mape_mean,mape_p75,mape_p95,mdape,mae,rmse,smape_median,bias,bias_pct
LSTM,GPU,T+1,test,95,74.22,103.59,98.01,314.25,74.22,239.0732,597.7809,78.31,-213.1387,36.41
LSTM,GPU,T+2,test,95,82.69,106.61,109.42,237.36,82.69,238.3503,600.4428,83.68,-210.1057,39.93
LSTM,GPU,T+3,test,95,79.83,105.46,114.89,282.52,79.83,233.3207,605.6382,77.58,-205.3616,39.77
LSTM,GPU,T+4,test,95,80.06,105.84,111.18,434.44,80.06,233.9293,618.816,76.32,-206.2013,40.49
LSTM,RAM,T+1,test,95,17.13,25.16,37.01,70.13,17.13,19.4074,51.9225,18.45,-17.0174,-9.19
LSTM,RAM,T+2,test,95,30.7,34.82,49.02,80.45,30.7,32.6484,69.1497,36.27,-31.8788,-26.44
LSTM,RAM,T+3,test,95,50.0,47.09,65.96,82.69,50.0,55.8624,98.1423,66.67,-55.5915,-44.15
LSTM,RAM,T+4,test,95,52.93,52.2,78.84,86.31,52.93,87.7673,144.511,70.24,-87.3804,-48.0
LSTM,Processor,T+1,test,1216,26.02,34.63,45.76,87.19,26.02,91.6557,410.7079,25.92,-76.6818,6.5
LSTM,Processor,T+2,test,1216,25.41,33.75,44.46,92.16,25.41,82.7017,372.7936,25.46,-68.6143,9.42
LSTM,Processor,T+3,test,1216,24.57,42.15,44.32,122.63,24.57,80.492,364.9121,23.94,-64.8541,21.89
LSTM,Processor,T+4,test,1216,24.72,43.16,46.59,131.41,24.72,78.518,361.2223,23.75,-60.9886,26.35
LSTM,Storage,T+1,test,1049,20.75,25.83,37.96,63.89,20.75,17.6987,40.4018,21.08,0.3219,13.97
LSTM,Storage,T+2,test,1049,20.06,23.35,31.61,62.98,20.06,14.2728,37.8099,18.9,2.5082,15.83
LSTM,Storage,T+3,test,1049,18.01,24.44,31.24,58.43,18.01,15.1631,43.4206,16.88,3.4263,19.35
LSTM,Storage,T+4,test,1049,17.64,22.17,30.4,53.73,17.64,16.1362,48.8416,17.18,0.2498,14.73
LSTM,NetworkAdapter,T+1,test,9,63.7,65.13,83.94,91.62,63.7,50.9045,82.1973,93.46,-50.9045,-65.13
LSTM,NetworkAdapter,T+2,test,9,64.87,61.21,81.28,90.55,64.87,49.392,83.0223,96.02,-49.392,-61.21
LSTM,NetworkAdapter,T+3,test,9,62.19,64.23,81.22,91.74,62.19,51.1081,83.5329,90.25,-51.1081,-64.23
LSTM,NetworkAdapter,T+4,test,9,59.2,60.81,80.49,90.15,59.2,48.8602,85.0295,84.08,-48.8602,-60.81
LSTM,GPU,T+1,train_cv,475,77.75,93.91,96.95,281.37,77.75,313.8269,751.6167,88.71,-290.6102,17.04
LSTM,GPU,T+2,train_cv,475,78.81,94.39,97.57,272.34,78.81,309.2885,746.3888,87.94,-285.937,17.77
LSTM,GPU,T+3,train_cv,475,78.12,93.48,97.57,276.19,78.12,298.5661,729.1077,87.61,-274.2211,20.02
LSTM,GPU,T+4,train_cv,475,77.65,92.62,96.84,274.16,77.65,310.8978,761.4164,90.15,-287.5194,16.78
LSTM,RAM,T+1,train_cv,475,22.23,35.04,42.94,111.77,22.23,15.5861,52.4648,21.86,-9.7391,7.44
LSTM,RAM,T+2,train_cv,475,21.04,32.37,38.22,111.44,21.04,15.3068,54.6511,21.04,-9.8733,7.01
LSTM,RAM,T+3,train_cv,475,22.55,32.98,41.18,88.27,22.55,15.8492,46.1459,23.19,-10.7319,4.2
LSTM,RAM,T+4,train_cv,475,24.91,35.89,42.88,112.81,24.91,15.3073,38.395,24.74,-9.4224,7.86
LSTM,Processor,T+1,train_cv,6080,44.55,61.06,70.49,109.03,44.55,193.6614,576.5356,48.35,-177.6601,-2.66
LSTM,Processor,T+2,train_cv,6080,43.72,59.27,70.03,97.55,43.72,192.8961,572.1224,47.67,-178.1912,-5.27
LSTM,Processor,T+3,train_cv,6080,43.19,52.37,70.3,113.38,43.19,181.0214,557.8729,46.09,-165.9445,-6.53
LSTM,Processor,T+4,train_cv,6080,41.98,51.82,69.7,112.71,41.98,180.5671,560.9129,45.47,-165.1706,-6.65
LSTM,Storage,T+1,train_cv,5245,28.97,36.82,51.22,103.84,28.97,31.1185,67.7014,28.12,-10.153,14.8
LSTM,Storage,T+2,train_cv,5245,28.28,36.06,51.59,99.86,28.28,32.7969,74.4189,27.46,-13.2603,11.56
LSTM,Storage,T+3,train_cv,5245,28.11,35.93,51.74,99.72,28.11,31.2103,69.8717,27.43,-10.8441,13.62
LSTM,Storage,T+4,train_cv,5245,27.78,34.62,49.95,89.62,27.78,29.8449,65.3468,26.59,-10.136,13.31
LSTM,NetworkAdapter,T+1,train_cv,45,83.8,80.49,90.79,96.19,83.8,99.3357,140.5008,144.22,-99.3357,-80.49
LSTM,NetworkAdapter,T+2,train_cv,45,82.04,79.48,90.06,95.76,82.04,95.5801,132.8258,139.11,-95.5801,-79.48
LSTM,NetworkAdapter,T+3,train_cv,45,82.21,77.84,86.91,94.35,82.21,70.5797,94.4644,139.58,-70.5797,-77.84
LSTM,NetworkAdapter,T+4,train_cv,45,81.2,77.77,88.86,94.99,81.2,84.4848,114.4225,136.69,-84.4848,-77.77
