gc_id,segment,model,n_horizons,mape_median,mape_mean,mape_p95,mae,rmse,bias,bias_pct,best_horizon
191441,GPU,XGBoost,4,12.45,14.16,27.17,2.7909,3.2976,2.4245,12.77,T+4
191441,GPU,LightGBM,4,17.18,19.64,40.88,3.808,4.8377,3.8073,19.63,T+4
191441,GPU,LSTM,4,182.77,175.28,211.62,36.8252,36.9475,36.8252,175.28,T+4
191443,GPU,XGBoost,4,31.61,30.51,43.44,9.0978,9.3674,5.4207,23.24,T+1
191443,GPU,LightGBM,4,38.43,36.32,53.34,10.6746,11.2244,7.0126,29.08,T+1
191443,GPU,LSTM,4,116.48,92.77,121.32,25.9618,27.9132,25.9618,92.77,T+1
191445,GPU,XGBoost,4,18.86,18.1,32.74,5.1197,6.1649,5.1183,18.1,T+4
191445,GPU,LightGBM,4,23.62,20.2,28.23,5.7708,6.2043,4.8427,17.64,T+4
191445,GPU,LSTM,4,96.01,92.3,118.3,26.9429,27.2744,26.9429,92.3,T+4
191447,GPU,XGBoost,4,104.82,86.99,108.42,19.3794,20.0847,19.3794,86.99,T+1
191447,GPU,LightGBM,4,108.53,94.33,122.81,21.1696,21.8259,21.1696,94.33,T+1
191447,GPU,LSTM,4,173.24,147.5,175.97,33.4212,33.9388,33.4212,147.5,T+1
191450,GPU,LightGBM,4,8.79,12.21,24.54,4.6177,5.4177,0.4938,3.42,T+1
191450,GPU,XGBoost,4,12.9,11.84,18.16,4.7841,5.4882,-1.8292,-2.69,T+1
191450,GPU,LSTM,4,51.12,51.18,79.15,18.8494,19.8944,18.8494,51.18,T+4
191452,GPU,LightGBM,4,3.46,3.03,5.06,1.6701,1.9993,1.6701,3.03,T+4
191452,GPU,LSTM,4,5.06,5.33,9.52,2.8513,3.4497,2.8513,5.33,T+2
191452,GPU,XGBoost,4,5.36,6.75,10.76,3.7323,4.0931,3.7323,6.75,T+4
191453,GPU,LightGBM,4,19.07,22.66,38.11,30.6362,33.8462,30.6362,22.66,T+1
191453,GPU,XGBoost,4,21.01,23.96,32.8,32.2122,32.6875,32.2122,23.96,T+2
191453,GPU,LSTM,4,57.04,57.17,62.46,79.1626,80.3884,-79.1626,-57.17,T+4
191455,GPU,LSTM,4,6.14,5.76,9.14,3.3847,3.91,-0.0322,0.38,T+2
191455,GPU,LightGBM,4,27.06,24.99,34.4,14.8102,15.9584,14.8102,24.99,T+4
191455,GPU,XGBoost,4,29.0,31.08,37.31,18.0209,18.1648,18.0209,31.08,T+1
191457,GPU,XGBoost,4,7.04,6.78,10.66,5.5451,6.3695,-3.8898,-4.35,T+4
191457,GPU,LightGBM,4,9.37,9.64,19.41,8.1823,11.4218,-8.1823,-9.65,T+1
191457,GPU,LSTM,4,29.82,26.86,32.65,22.0072,23.1286,-22.0072,-26.86,T+1
191459,GPU,XGBoost,4,23.94,37.47,84.2,60.6856,71.744,60.6856,37.47,T+1
191459,GPU,LightGBM,4,27.73,39.26,91.26,63.6345,82.2624,53.5003,35.63,T+4
191459,GPU,LSTM,4,71.2,69.16,77.91,146.0285,155.2275,-146.0285,-69.16,T+3
191461,GPU,LightGBM,4,5.05,7.47,16.98,8.1582,11.1446,6.998,6.49,T+2
191461,GPU,XGBoost,4,5.22,5.28,9.28,5.7478,6.922,5.0263,4.66,T+2
191461,GPU,LSTM,4,48.86,48.26,51.05,54.2235,54.5223,-54.2235,-48.26,T+4
191462,GPU,LightGBM,4,20.66,20.32,35.46,60.9244,71.0085,60.9244,20.32,T+1
191462,GPU,XGBoost,4,27.17,24.18,33.68,73.2626,78.2377,73.2626,24.18,T+1
191462,GPU,LSTM,4,80.59,81.23,83.5,256.324,258.0251,-256.324,-81.23,T+3
191464,GPU,XGBoost,4,3.23,4.83,11.02,3.8105,5.2086,-3.4035,-4.25,T+3
191464,GPU,LightGBM,4,4.38,3.8,5.73,2.95,3.3561,-0.777,-0.8,T+3
191464,GPU,LSTM,4,26.31,25.35,29.49,19.9281,20.3481,-19.9281,-25.35,T+4
191471,GPU,LightGBM,4,2.25,3.24,7.1,0.7064,0.9313,-0.7064,-3.24,T+1
191471,GPU,XGBoost,4,3.23,3.07,4.78,0.6682,0.7567,-0.6682,-3.07,T+2
