gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
191441,GPU,T+1,24.6882,26.5021,32.0659,22.7369,37.3127,18.9621,50.7822,31.8201,128.89,XGBoost,2026-02-01,future
191441,GPU,T+2,27.0113,25.1761,29.2174,20.5474,40.4388,18.2398,61.4329,43.1931,159.91,XGBoost,2026-03-01,future
191441,GPU,T+3,25.3695,25.2222,33.3143,21.413,41.8311,18.0202,55.4661,37.4459,147.6,XGBoost,2026-04-01,future
191441,GPU,T+4,26.3892,23.2441,32.8703,20.2739,40.9595,17.9866,62.7397,44.7532,169.59,XGBoost,2026-05-01,future
191443,GPU,T+1,26.7471,24.4158,30.906,23.247,35.8387,20.2674,42.7788,22.5115,84.16,XGBoost,2026-02-01,future
191443,GPU,T+2,30.3957,24.5324,35.9521,20.4197,45.4444,19.147,51.8308,32.6838,107.53,XGBoost,2026-03-01,future
191443,GPU,T+3,33.0811,26.6838,35.4075,20.3619,37.4103,17.5699,55.1802,37.6102,113.69,XGBoost,2026-04-01,future
191443,GPU,T+4,33.7531,28.7019,36.5575,22.7146,46.604,19.3284,52.9421,33.6137,99.59,XGBoost,2026-05-01,future
191445,GPU,T+1,33.0779,31.137,37.2559,26.8165,39.0463,21.131,42.48,21.349,64.54,XGBoost,2026-02-01,future
191445,GPU,T+2,30.5235,29.8415,36.1074,25.1027,41.1088,21.44,44.9746,23.5346,77.1,XGBoost,2026-03-01,future
191445,GPU,T+3,32.1569,29.7531,37.7698,26.322,42.8359,19.9183,39.0515,19.1332,59.5,XGBoost,2026-04-01,future
191445,GPU,T+4,32.0616,28.1751,39.3417,23.9486,39.116,20.1587,45.293,25.1343,78.39,XGBoost,2026-05-01,future
191447,GPU,T+1,25.6033,24.1329,29.8661,20.8894,31.1458,18.3991,40.1562,21.7572,84.98,XGBoost,2026-02-01,future
191447,GPU,T+2,27.1753,21.4819,30.0271,19.4097,35.5672,17.3202,38.5295,21.2093,78.05,XGBoost,2026-03-01,future
191447,GPU,T+3,29.5071,25.6638,34.9048,19.2324,34.132,17.5102,41.6099,24.0997,81.67,XGBoost,2026-04-01,future
191447,GPU,T+4,29.8031,27.1062,31.0445,23.1052,36.103,17.6444,36.7097,19.0654,63.97,XGBoost,2026-05-01,future
191450,GPU,T+1,44.8916,39.753,47.9144,36.8034,52.5769,30.2448,61.2217,30.9769,69.0,XGBoost,2026-02-01,future
191450,GPU,T+2,40.8394,36.9781,46.3439,34.3528,57.3147,29.691,73.3113,43.6203,106.81,XGBoost,2026-03-01,future
191450,GPU,T+3,42.1591,35.7265,46.5411,34.8432,54.0686,28.1458,50.2583,22.1125,52.45,XGBoost,2026-04-01,future
191450,GPU,T+4,44.8965,35.7945,46.3232,34.4737,52.7003,27.6155,71.3796,43.7642,97.48,XGBoost,2026-05-01,future
191452,GPU,T+1,53.3697,46.8765,58.4743,44.8064,64.3516,34.0648,90.6096,56.5449,105.95,XGBoost,2026-02-01,future
191452,GPU,T+2,54.6165,45.9856,63.9874,43.0461,76.3101,37.9874,112.1199,74.1325,135.73,XGBoost,2026-03-01,future
191452,GPU,T+3,52.8855,49.5763,60.6109,45.1668,67.887,33.0348,93.1714,60.1366,113.71,XGBoost,2026-04-01,future
191452,GPU,T+4,56.1667,43.4165,57.5965,42.6606,72.1363,30.8369,100.0442,69.2073,123.22,XGBoost,2026-05-01,future
191453,GPU,T+1,112.968,104.4748,120.7811,96.7715,132.9647,90.2707,218.3674,128.0968,113.39,XGBoost,2026-02-01,future
191453,GPU,T+2,115.105,114.5041,137.9949,105.4661,169.1893,86.0189,234.5989,148.58,129.08,XGBoost,2026-03-01,future
191453,GPU,T+3,119.4571,104.1758,136.8374,104.9149,152.9442,80.8192,236.1216,155.3024,130.01,XGBoost,2026-04-01,future
191453,GPU,T+4,107.991,103.6234,154.2539,105.7091,196.873,84.3656,239.9326,155.567,144.06,XGBoost,2026-05-01,future
191455,GPU,T+1,54.0618,50.1881,59.2444,49.3579,59.8546,40.438,75.2449,34.8069,64.38,XGBoost,2026-02-01,future
191455,GPU,T+2,53.8723,49.541,63.0446,45.761,65.7073,34.0748,88.5291,54.4543,101.08,XGBoost,2026-03-01,future
191455,GPU,T+3,54.1181,47.7806,68.3721,40.0581,71.9549,36.3735,79.2581,42.8846,79.24,XGBoost,2026-04-01,future
191455,GPU,T+4,56.9892,43.5485,67.0919,39.0146,77.3015,31.7555,98.1938,66.4383,116.58,XGBoost,2026-05-01,future
191457,GPU,T+1,78.6779,73.4515,84.6989,64.4801,88.3412,52.3779,141.8364,89.4585,113.7,XGBoost,2026-02-01,future
191457,GPU,T+2,83.4526,75.3833,110.3517,59.5488,93.7689,41.4505,167.7917,126.3413,151.39,XGBoost,2026-03-01,future
191457,GPU,T+3,81.7539,64.97,84.0533,53.6782,85.2988,40.3537,156.4761,116.1224,142.04,XGBoost,2026-04-01,future
191457,GPU,T+4,85.2259,62.7181,77.341,49.3555,114.0328,36.706,168.4292,131.7232,154.56,XGBoost,2026-05-01,future
191459,GPU,T+1,194.3148,160.2309,265.5652,122.2657,304.3798,116.0618,402.5396,286.4777,147.43,XGBoost,2026-02-01,future
191459,GPU,T+2,207.0851,144.7121,266.2249,113.9359,334.4406,123.3549,476.9939,353.6389,170.77,XGBoost,2026-03-01,future
191459,GPU,T+3,208.5663,131.9598,280.8409,133.7064,414.3223,105.6375,451.5544,345.917,165.85,XGBoost,2026-04-01,future
191459,GPU,T+4,183.9434,133.0608,290.6247,133.7525,373.7721,98.8676,469.2952,370.4275,201.38,XGBoost,2026-05-01,future
191461,GPU,T+1,99.8388,96.1626,115.2584,90.3972,131.9361,80.1514,185.1072,104.9558,105.13,XGBoost,2026-02-01,future
191461,GPU,T+2,102.7384,92.2044,120.7379,88.8738,140.7495,67.4448,197.4346,129.9898,126.52,XGBoost,2026-03-01,future
191461,GPU,T+3,96.1015,100.0434,118.6628,94.6369,117.0378,83.0289,195.5513,112.5224,117.09,XGBoost,2026-04-01,future
191461,GPU,T+4,110.0719,107.6948,123.8648,88.7009,152.4158,79.2688,199.7109,120.4422,109.42,XGBoost,2026-05-01,future
191462,GPU,T+1,277.6455,259.8684,280.8172,264.6984,403.9054,206.8172,478.9304,272.1132,98.01,XGBoost,2026-02-01,future
191462,GPU,T+2,303.8171,283.57,322.7132,222.8911,464.482,217.0869,557.9341,340.8471,112.19,XGBoost,2026-03-01,future
191462,GPU,T+3,356.8316,291.9815,316.24,267.995,522.163,211.2701,581.95,370.6798,103.88,XGBoost,2026-04-01,future
