gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
50962,NetworkAdapter,T+1,24.1991,17.4471,24.0107,17.6341,36.2625,22.6789,101.156,78.4771,324.3,XGBoost,2026-02-01,future
50962,NetworkAdapter,T+2,25.1057,24.5259,25.8779,20.2987,67.675,21.0179,130.8587,109.8407,437.51,XGBoost,2026-03-01,future
50962,NetworkAdapter,T+3,24.964,22.3647,40.0731,22.5975,58.6282,21.9729,101.6843,79.7114,319.31,XGBoost,2026-04-01,future
50962,NetworkAdapter,T+4,25.2558,19.3744,36.8158,20.2787,50.326,20.1857,131.6352,111.4495,441.28,XGBoost,2026-05-01,future
50993,NetworkAdapter,T+1,28.2401,24.4607,33.3523,24.2289,43.4739,24.4515,107.9461,83.4946,295.66,XGBoost,2026-02-01,future
50993,NetworkAdapter,T+2,31.3933,26.5336,29.5826,24.1256,46.8252,20.1888,132.2699,112.081,357.02,XGBoost,2026-03-01,future
50993,NetworkAdapter,T+3,36.5374,25.1759,44.4898,22.1333,65.5613,20.3833,141.2049,120.8216,330.68,XGBoost,2026-04-01,future
50993,NetworkAdapter,T+4,34.9747,30.0243,44.6651,22.9629,61.1744,19.6978,150.1327,130.4349,372.94,XGBoost,2026-05-01,future
51049,NetworkAdapter,T+1,30.3457,30.9456,33.6257,31.5036,39.9543,29.244,106.6642,77.4202,255.13,XGBoost,2026-02-01,future
51049,NetworkAdapter,T+2,34.2919,29.6844,32.2557,28.1273,44.585,23.2247,133.114,109.8893,320.45,XGBoost,2026-03-01,future
51049,NetworkAdapter,T+3,34.6218,30.4888,32.8902,29.3357,48.5451,28.219,135.8723,107.6534,310.94,XGBoost,2026-04-01,future
51049,NetworkAdapter,T+4,25.9189,30.0402,32.5774,26.0181,44.7056,20.037,146.3753,126.3383,487.44,XGBoost,2026-05-01,future
51052,NetworkAdapter,T+1,60.3222,59.9664,66.2737,63.5717,70.0615,52.2945,104.9742,52.6798,87.33,XGBoost,2026-02-01,future
51052,NetworkAdapter,T+2,42.9527,52.1129,60.9219,42.5587,75.8194,58.5382,129.8981,71.3599,166.14,XGBoost,2026-03-01,future
51052,NetworkAdapter,T+3,42.5368,43.909,58.0034,45.4664,73.5213,58.1944,135.9167,77.7223,182.72,XGBoost,2026-04-01,future
51052,NetworkAdapter,T+4,45.9387,35.6296,64.6051,39.7849,72.3347,56.8309,146.1472,89.3164,194.43,XGBoost,2026-05-01,future
51096,NetworkAdapter,T+1,66.9343,64.5459,84.2304,53.7065,91.3639,39.1721,112.9781,73.8059,110.27,XGBoost,2026-02-01,future
51096,NetworkAdapter,T+2,72.7904,67.0037,85.683,45.8973,94.7493,36.0379,139.7588,103.7209,142.49,XGBoost,2026-03-01,future
51096,NetworkAdapter,T+3,57.418,56.1588,67.4429,49.3187,94.9053,36.0198,136.5541,100.5343,175.09,XGBoost,2026-04-01,future
51096,NetworkAdapter,T+4,64.8169,58.0245,65.6123,44.8944,113.8498,34.1623,158.1639,124.0016,191.31,XGBoost,2026-05-01,future
51206,NetworkAdapter,T+1,28.6324,26.481,29.9643,27.8999,34.8302,25.9083,106.6642,80.7558,282.04,XGBoost,2026-02-01,future
51206,NetworkAdapter,T+2,31.7057,28.7775,28.2422,26.3877,46.2865,22.1808,133.114,110.9332,349.88,XGBoost,2026-03-01,future
51206,NetworkAdapter,T+3,31.9421,30.2961,30.8321,29.2175,44.6879,20.7174,135.8723,115.1549,360.51,XGBoost,2026-04-01,future
51206,NetworkAdapter,T+4,25.1669,29.9062,33.8246,27.7478,43.9292,21.0552,146.3753,125.3201,497.96,XGBoost,2026-05-01,future
53340,NetworkAdapter,T+1,23.8551,22.8415,25.0676,21.9578,44.5323,20.4798,106.4687,85.9889,360.46,XGBoost,2026-02-01,future
53340,NetworkAdapter,T+2,21.9773,19.8538,25.1229,20.0693,71.622,19.6171,123.9853,104.3682,474.89,XGBoost,2026-03-01,future
53340,NetworkAdapter,T+3,20.8493,21.2766,47.9827,20.5823,68.6389,20.1464,110.1027,89.9563,431.46,XGBoost,2026-04-01,future
53340,NetworkAdapter,T+4,18.658,22.6285,33.347,21.5968,50.6186,24.4095,123.3303,98.9207,530.18,XGBoost,2026-05-01,future
142891,NetworkAdapter,T+1,40.6181,33.9609,46.4048,33.4598,58.2262,29.1498,107.8308,78.681,193.71,XGBoost,2026-02-01,future
142891,NetworkAdapter,T+2,39.2772,31.9031,47.8445,31.2294,59.4162,25.7899,132.9337,107.1437,272.79,XGBoost,2026-03-01,future
142891,NetworkAdapter,T+3,40.1266,36.9463,48.1448,27.692,60.5339,26.2537,138.9427,112.689,280.83,XGBoost,2026-04-01,future
142891,NetworkAdapter,T+4,36.864,32.3925,38.7634,28.9327,59.1025,24.2743,151.3476,127.0733,344.71,XGBoost,2026-05-01,future
243631,NetworkAdapter,T+1,218.5521,202.0662,245.7009,91.5884,262.195,45.8885,276.0161,230.1276,105.3,XGBoost,2026-02-01,future
243631,NetworkAdapter,T+2,203.7563,175.8485,213.9685,106.0661,250.7178,38.7145,272.2055,233.491,114.59,XGBoost,2026-03-01,future
243631,NetworkAdapter,T+3,164.7502,154.5438,195.3425,99.8164,233.1566,38.4454,281.9808,243.5355,147.82,XGBoost,2026-04-01,future
243631,NetworkAdapter,T+4,168.4432,158.6606,246.0001,92.1484,258.9833,34.722,289.2172,254.4952,151.09,XGBoost,2026-05-01,future
50962,NetworkAdapter,T+1,20.5519,18.1982,21.0714,17.7167,32.2948,16.7831,45.2247,28.4416,138.39,LightGBM,2026-02-01,future
50962,NetworkAdapter,T+2,26.2258,22.0866,27.0478,19.1208,28.261,17.8039,62.0048,44.201,168.54,LightGBM,2026-03-01,future
50962,NetworkAdapter,T+3,24.0048,21.2109,26.0604,21.1472,38.495,18.9378,82.1024,63.1646,263.13,LightGBM,2026-04-01,future
50962,NetworkAdapter,T+4,25.6895,20.7535,35.4467,19.2407,69.8248,17.4795,85.2672,67.7876,263.87,LightGBM,2026-05-01,future
50993,NetworkAdapter,T+1,30.3002,26.5853,34.7197,25.6503,39.6587,23.7949,65.9409,42.146,139.09,LightGBM,2026-02-01,future
