gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
49842,Processor,T+1,568.1439,540.7233,602.457,490.476,620.7531,374.6851,709.4778,334.7927,58.93,XGBoost,2026-02-01,future
49842,Processor,T+2,563.0918,523.4363,606.316,465.7491,611.2616,299.0221,745.0769,446.0548,79.22,XGBoost,2026-03-01,future
49842,Processor,T+3,515.8259,488.8579,571.6073,384.1534,629.9937,271.6296,752.6763,481.0466,93.26,XGBoost,2026-04-01,future
49842,Processor,T+4,550.9734,492.8526,583.4406,398.2473,632.2721,243.4924,796.7893,553.2969,100.42,XGBoost,2026-05-01,future
49845,Processor,T+1,227.884,192.4122,240.5755,170.5345,260.4057,146.6924,357.0465,210.3541,92.31,XGBoost,2026-02-01,future
49845,Processor,T+2,215.2594,166.9026,228.5824,149.8347,338.9484,108.2931,434.4358,326.1427,151.51,XGBoost,2026-03-01,future
49845,Processor,T+3,205.1797,171.8307,235.5468,141.7204,333.2612,90.0075,453.8152,363.8077,177.31,XGBoost,2026-04-01,future
49845,Processor,T+4,178.7722,141.9887,215.0808,129.0084,290.6725,97.1971,546.6101,449.413,251.39,XGBoost,2026-05-01,future
49846,Processor,T+1,647.7296,585.6492,678.4014,536.4755,817.7917,418.6699,955.691,537.0212,82.91,XGBoost,2026-02-01,future
49846,Processor,T+2,673.2191,555.0451,635.5716,451.1808,886.3063,379.1477,1058.6036,679.456,100.93,XGBoost,2026-03-01,future
49846,Processor,T+3,555.4142,511.075,656.043,456.8218,959.6905,343.2658,1173.5858,830.32,149.5,XGBoost,2026-04-01,future
49846,Processor,T+4,578.1967,469.3852,660.174,394.7572,929.6917,311.6495,1271.6992,960.0497,166.04,XGBoost,2026-05-01,future
49848,Processor,T+1,13.9536,12.2509,18.1979,10.8158,26.2452,5.5948,56.7852,51.1904,366.86,XGBoost,2026-02-01,future
49848,Processor,T+2,17.5637,12.783,20.9349,10.5551,30.4828,8.2384,84.812,76.5736,435.98,XGBoost,2026-03-01,future
49848,Processor,T+3,17.1263,11.8149,18.6908,9.7269,29.0739,9.0469,125.4219,116.375,679.51,XGBoost,2026-04-01,future
49848,Processor,T+4,16.7714,13.1457,19.1737,11.7865,42.8311,8.991,85.1521,76.1611,454.11,XGBoost,2026-05-01,future
49857,Processor,T+1,196.274,158.6184,183.9898,110.8843,209.7115,93.0739,277.3436,184.2697,93.88,XGBoost,2026-02-01,future
49857,Processor,T+2,155.797,111.0863,180.805,86.3334,194.8441,52.3662,344.3407,291.9745,187.41,XGBoost,2026-03-01,future
49857,Processor,T+3,152.3528,107.4243,185.3829,81.8568,205.2982,63.0436,302.1412,239.0976,156.94,XGBoost,2026-04-01,future
49857,Processor,T+4,124.5771,93.5582,169.2245,70.9038,193.3558,46.6563,245.6588,199.0025,159.74,XGBoost,2026-05-01,future
49858,Processor,T+1,169.3061,160.1736,173.247,129.9044,237.215,117.0091,273.3127,156.3036,92.32,XGBoost,2026-02-01,future
49858,Processor,T+2,161.0425,145.0686,168.8677,116.5842,250.6657,112.1891,380.6488,268.4597,166.7,XGBoost,2026-03-01,future
49858,Processor,T+3,160.0054,136.4072,247.61,111.8259,249.0376,90.8889,471.882,380.9931,238.11,XGBoost,2026-04-01,future
49858,Processor,T+4,145.1744,123.3083,173.5941,88.3289,330.7285,77.6067,475.4414,397.8347,274.04,XGBoost,2026-05-01,future
49860,Processor,T+1,324.0907,300.6968,346.8127,258.0896,472.8579,202.9734,589.4116,386.4382,119.24,XGBoost,2026-02-01,future
49860,Processor,T+2,326.7977,277.8426,364.243,215.7022,530.7612,151.241,700.6555,549.4145,168.12,XGBoost,2026-03-01,future
49860,Processor,T+3,306.3633,256.1465,374.7802,205.7363,556.6704,129.5641,707.7784,578.2143,188.73,XGBoost,2026-04-01,future
49860,Processor,T+4,286.7669,221.81,351.0181,194.4541,565.0153,116.8165,734.4171,617.6007,215.37,XGBoost,2026-05-01,future
49864,Processor,T+1,94.0847,90.2969,102.5852,79.2286,112.1781,59.4949,150.4329,90.9379,96.66,XGBoost,2026-02-01,future
49864,Processor,T+2,81.1874,79.3105,107.5587,70.0194,194.249,53.044,233.7417,180.6977,222.57,XGBoost,2026-03-01,future
49864,Processor,T+3,83.5609,77.008,108.2304,61.8988,136.3652,44.3769,279.3496,234.9728,281.2,XGBoost,2026-04-01,future
49864,Processor,T+4,82.1683,70.1719,94.5147,63.8415,134.4155,37.4875,231.932,194.4445,236.64,XGBoost,2026-05-01,future
49873,Processor,T+1,297.0541,295.6317,305.3717,253.316,359.1559,180.11,471.9764,291.8664,98.25,XGBoost,2026-02-01,future
49873,Processor,T+2,301.1116,269.6611,296.123,201.6973,369.6618,137.5917,514.6412,377.0496,125.22,XGBoost,2026-03-01,future
49873,Processor,T+3,301.1543,255.7496,303.0459,201.5406,408.9927,139.1325,539.1777,400.0452,132.84,XGBoost,2026-04-01,future
49873,Processor,T+4,271.3959,225.1457,307.3722,186.6218,359.6519,119.8927,495.5486,375.6559,138.42,XGBoost,2026-05-01,future
