gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
143666,RAM,T+1,394.3481,231.3576,399.9408,144.3672,430.5492,53.2563,485.1313,431.875,109.52,XGBoost,2026-02-01,future
143666,RAM,T+2,390.7627,238.2443,415.5584,137.56,389.6616,54.3653,414.9131,360.5478,92.27,XGBoost,2026-03-01,future
143666,RAM,T+3,355.9046,191.8833,432.1175,146.5364,383.9351,55.8436,354.984,299.1404,84.05,XGBoost,2026-04-01,future
143666,RAM,T+4,319.5416,204.3516,388.8987,144.1104,315.2234,56.5357,304.1317,247.5961,77.48,XGBoost,2026-05-01,future
144107,RAM,T+1,28.5398,26.1775,35.7992,21.3785,45.5754,11.2804,75.5238,64.2434,225.1,XGBoost,2026-02-01,future
144107,RAM,T+2,33.7199,25.6962,34.8646,18.0056,45.454,8.551,88.4881,79.937,237.06,XGBoost,2026-03-01,future
144107,RAM,T+3,39.7409,22.8068,36.0657,16.5738,60.152,9.1007,102.3724,93.2717,234.7,XGBoost,2026-04-01,future
144107,RAM,T+4,35.6529,22.7856,41.3333,16.504,43.5283,9.5241,89.995,80.4709,225.71,XGBoost,2026-05-01,future
144760,RAM,T+1,218.4399,111.9621,268.0039,50.6249,296.5516,46.2187,266.7422,220.5235,100.95,XGBoost,2026-02-01,future
144760,RAM,T+2,215.5249,122.0038,237.5314,56.5699,270.4329,38.1778,268.7101,230.5323,106.96,XGBoost,2026-03-01,future
144760,RAM,T+3,226.8164,112.5652,246.7657,64.1395,258.7509,39.5452,261.4792,221.934,97.85,XGBoost,2026-04-01,future
144760,RAM,T+4,211.9612,99.2109,267.5954,57.8163,230.2392,44.4333,272.2444,227.8111,107.48,XGBoost,2026-05-01,future
144761,RAM,T+1,69.9302,60.061,87.7962,39.589,86.0449,23.7754,98.9407,75.1653,107.49,XGBoost,2026-02-01,future
144761,RAM,T+2,88.7868,58.7331,95.9581,41.0554,137.0524,27.5055,154.9885,127.483,143.58,XGBoost,2026-03-01,future
144761,RAM,T+3,95.1836,63.1106,94.6742,34.2832,104.3441,23.0706,124.8349,101.7643,106.91,XGBoost,2026-04-01,future
144761,RAM,T+4,102.6122,52.1419,109.7329,35.0841,79.9734,22.3821,115.9594,93.5773,91.2,XGBoost,2026-05-01,future
144763,RAM,T+1,14.5412,14.3493,17.4432,14.3787,18.9774,8.3629,35.4929,27.13,186.57,XGBoost,2026-02-01,future
144763,RAM,T+2,17.3517,14.947,18.8697,15.316,25.5762,7.8897,69.0682,61.1785,352.58,XGBoost,2026-03-01,future
144763,RAM,T+3,16.1683,15.7478,17.2957,14.2257,29.0383,8.1002,84.2338,76.1336,470.88,XGBoost,2026-04-01,future
144763,RAM,T+4,16.0918,15.92,16.2608,12.3624,29.2793,8.8251,76.0557,67.2307,417.8,XGBoost,2026-05-01,future
144765,RAM,T+1,8.3488,6.6862,11.9532,8.4487,21.7822,5.9469,29.2476,23.3006,279.09,XGBoost,2026-02-01,future
144765,RAM,T+2,12.1931,9.7014,10.7627,9.5263,23.4321,7.1779,68.1925,61.0146,500.4,XGBoost,2026-03-01,future
144765,RAM,T+3,12.1179,13.887,15.29,7.9824,32.6969,5.8014,79.7525,73.9512,610.27,XGBoost,2026-04-01,future
144765,RAM,T+4,13.5367,12.5871,13.3956,10.0934,27.7815,6.6841,73.4999,66.8157,493.59,XGBoost,2026-05-01,future
144768,RAM,T+1,13.8498,12.1035,16.8471,11.764,18.3441,7.8074,30.4281,22.6206,163.33,XGBoost,2026-02-01,future
144768,RAM,T+2,14.1724,12.755,16.0107,11.9111,22.413,7.7113,67.7361,60.0248,423.53,XGBoost,2026-03-01,future
144768,RAM,T+3,15.3418,12.6331,15.8164,11.9488,26.8482,7.7605,80.0329,72.2723,471.08,XGBoost,2026-04-01,future
144768,RAM,T+4,12.4126,13.6178,14.2804,10.8216,35.8542,8.1661,76.7409,68.5749,552.46,XGBoost,2026-05-01,future
144775,RAM,T+1,74.6725,58.9052,107.5142,37.8276,91.5976,21.3224,125.0419,103.7194,138.9,XGBoost,2026-02-01,future
