gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
51498,Storage,T+1,274.875,244.4295,318.8518,224.792,310.5238,180.0814,336.3831,156.3017,56.86,XGBoost,2026-02-01,future
51498,Storage,T+2,254.9098,227.1308,286.6583,203.1808,307.6816,173.1336,331.8076,158.674,62.25,XGBoost,2026-03-01,future
51498,Storage,T+3,241.3763,217.3777,264.8767,202.0074,297.001,178.3755,324.6263,146.2509,60.59,XGBoost,2026-04-01,future
51498,Storage,T+4,246.5975,233.0122,273.8687,195.9675,296.4363,178.9135,318.3949,139.4814,56.56,XGBoost,2026-05-01,future
51504,Storage,T+1,24.572,22.0616,26.4997,22.7904,27.403,20.5643,32.7573,12.193,49.62,XGBoost,2026-02-01,future
51504,Storage,T+2,24.6534,23.6279,24.6834,21.4727,26.4398,19.9747,29.7233,9.7487,39.54,XGBoost,2026-03-01,future
51504,Storage,T+3,22.295,20.4756,23.4516,20.1237,24.0134,17.7274,31.4842,13.7569,61.7,XGBoost,2026-04-01,future
51504,Storage,T+4,23.5233,21.764,26.5205,20.6164,26.2153,16.8899,32.3385,15.4486,65.67,XGBoost,2026-05-01,future
51511,Storage,T+1,24.6892,22.0786,26.746,22.5868,28.6984,20.7368,33.4362,12.6994,51.44,XGBoost,2026-02-01,future
51511,Storage,T+2,24.8791,23.7768,25.018,22.0284,28.3988,20.2796,31.3196,11.0401,44.37,XGBoost,2026-03-01,future
51511,Storage,T+3,22.5585,20.6652,23.6411,19.9238,24.8214,18.8533,31.7818,12.9285,57.31,XGBoost,2026-04-01,future
51511,Storage,T+4,23.5072,20.4153,26.5365,20.678,26.148,17.5329,32.3793,14.8465,63.16,XGBoost,2026-05-01,future
51529,Storage,T+1,42.6719,41.252,44.665,38.2311,47.6927,29.4988,45.8618,16.363,38.35,XGBoost,2026-02-01,future
51529,Storage,T+2,42.7225,39.0826,46.2567,34.252,50.7909,27.9604,52.1733,24.2129,56.67,XGBoost,2026-03-01,future
51529,Storage,T+3,41.6692,35.9707,48.8624,31.9329,49.2179,24.0183,56.5878,32.5695,78.16,XGBoost,2026-04-01,future
51529,Storage,T+4,40.2704,34.2044,47.2236,30.1452,49.998,25.739,56.9761,31.2371,77.57,XGBoost,2026-05-01,future
51537,Storage,T+1,138.6127,133.0706,142.0705,128.772,154.4156,113.3127,165.5546,52.2419,37.69,XGBoost,2026-02-01,future
51537,Storage,T+2,142.5477,140.9962,145.8156,123.4975,155.3106,104.3475,159.3772,55.0298,38.6,XGBoost,2026-03-01,future
51537,Storage,T+3,142.6476,127.7258,143.3468,117.885,166.2423,97.576,183.1892,85.6131,60.02,XGBoost,2026-04-01,future
51537,Storage,T+4,140.5491,133.0197,154.635,114.9054,161.3339,91.5333,191.2454,99.712,70.94,XGBoost,2026-05-01,future
51543,Storage,T+1,41.829,39.8031,44.4663,39.7837,50.286,33.484,44.1146,10.6306,25.41,XGBoost,2026-02-01,future
51543,Storage,T+2,41.7779,39.6495,46.9833,38.1307,49.6856,33.956,56.7659,22.8099,54.6,XGBoost,2026-03-01,future
51543,Storage,T+3,48.0568,40.5599,51.0322,40.1681,49.2947,34.2107,57.8496,23.6389,49.19,XGBoost,2026-04-01,future
51543,Storage,T+4,46.825,43.0193,53.2561,39.4149,51.3213,34.5647,57.377,22.8123,48.72,XGBoost,2026-05-01,future
51545,Storage,T+1,41.8462,40.572,44.7526,37.3548,46.5336,33.8508,51.7505,17.8997,42.77,XGBoost,2026-02-01,future
51545,Storage,T+2,41.6102,40.0341,48.028,35.2562,47.4072,34.5276,45.6693,11.1417,26.78,XGBoost,2026-03-01,future
51545,Storage,T+3,39.2075,38.8457,42.4448,34.6156,45.3068,33.8922,53.128,19.2357,49.06,XGBoost,2026-04-01,future
51545,Storage,T+4,40.1241,38.0654,42.9742,34.7976,44.9454,35.1226,48.9485,13.8259,34.46,XGBoost,2026-05-01,future
51549,Storage,T+1,42.0621,40.572,44.7526,37.3548,46.5336,33.8508,51.7505,17.8997,42.56,XGBoost,2026-02-01,future
51549,Storage,T+2,41.6102,40.0341,48.028,35.2562,47.3788,34.5276,45.6693,11.1417,26.78,XGBoost,2026-03-01,future
51549,Storage,T+3,39.3048,38.8457,42.5665,34.6156,45.3068,33.8922,53.128,19.2357,48.94,XGBoost,2026-04-01,future
51549,Storage,T+4,40.1121,38.1952,43.2657,34.7976,44.9454,35.1226,48.9485,13.8259,34.47,XGBoost,2026-05-01,future
51552,Storage,T+1,140.438,131.7266,137.5801,119.2474,142.4963,99.051,157.6128,58.5618,41.7,XGBoost,2026-02-01,future
51552,Storage,T+2,136.893,124.4957,134.519,114.6474,157.4726,88.4873,164.9612,76.4738,55.86,XGBoost,2026-03-01,future
51552,Storage,T+3,127.6791,120.5475,130.9206,111.2173,158.889,87.2648,143.4108,56.146,43.97,XGBoost,2026-04-01,future
51552,Storage,T+4,128.922,120.7199,137.1749,102.0995,150.1906,85.304,145.8593,60.5554,46.97,XGBoost,2026-05-01,future
51554,Storage,T+1,68.9778,67.612,68.9486,60.2422,74.2691,51.5363,79.7464,28.2101,40.9,XGBoost,2026-02-01,future
51554,Storage,T+2,67.7808,64.0093,74.2343,54.546,80.3311,47.913,80.5651,32.6521,48.17,XGBoost,2026-03-01,future
51554,Storage,T+3,64.2433,61.4888,75.1139,56.1949,79.7491,50.8588,83.3916,32.5328,50.64,XGBoost,2026-04-01,future
51554,Storage,T+4,66.2724,62.5328,74.5503,57.2526,73.5348,48.5842,80.9945,32.4103,48.9,XGBoost,2026-05-01,future
51560,Storage,T+1,140.9216,127.5462,147.7578,121.1695,150.1617,99.1819,155.0791,55.8972,39.67,XGBoost,2026-02-01,future
51560,Storage,T+2,129.0152,115.2832,136.1512,107.5993,153.1294,89.209,151.519,62.31,48.3,XGBoost,2026-03-01,future
51560,Storage,T+3,120.8141,114.844,124.1587,101.9955,146.5558,84.1711,146.0037,61.8327,51.18,XGBoost,2026-04-01,future
51560,Storage,T+4,121.3222,112.3886,126.3923,101.749,141.3628,86.6871,158.478,71.7909,59.17,XGBoost,2026-05-01,future
51561,Storage,T+1,140.5202,131.7307,137.916,119.3313,142.4963,99.4488,157.6128,58.164,41.39,XGBoost,2026-02-01,future
51561,Storage,T+2,137.0091,124.5756,134.519,114.8096,157.6042,88.4873,165.0254,76.5381,55.86,XGBoost,2026-03-01,future
51561,Storage,T+3,127.6823,120.5535,130.9206,111.5714,158.889,87.2648,143.4108,56.146,43.97,XGBoost,2026-04-01,future
51561,Storage,T+4,128.922,120.7199,137.1749,102.3083,150.1906,85.304,145.8593,60.5554,46.97,XGBoost,2026-05-01,future
51566,Storage,T+1,42.0621,40.572,44.7526,37.3548,46.5336,33.8508,51.7505,17.8997,42.56,XGBoost,2026-02-01,future
51566,Storage,T+2,41.6102,40.0341,48.028,35.2562,47.3685,34.5276,45.6693,11.1417,26.78,XGBoost,2026-03-01,future
51566,Storage,T+3,39.3057,38.8457,42.543,34.6156,45.3068,33.8922,53.128,19.2357,48.94,XGBoost,2026-04-01,future
51566,Storage,T+4,40.1241,38.1952,43.2657,34.7976,44.9454,35.1226,48.9485,13.8259,34.46,XGBoost,2026-05-01,future
51567,Storage,T+1,68.9778,67.612,68.9486,60.2436,74.2691,51.5363,79.7464,28.2101,40.9,XGBoost,2026-02-01,future
51567,Storage,T+2,67.465,64.3719,74.2343,54.546,80.3311,47.9127,80.4946,32.5819,48.29,XGBoost,2026-03-01,future
51567,Storage,T+3,64.4424,61.8979,75.3875,56.3482,79.7491,50.8588,83.3916,32.5328,50.48,XGBoost,2026-04-01,future
51567,Storage,T+4,66.2724,62.9765,74.5503,57.2526,73.8765,48.9969,80.9945,31.9976,48.28,XGBoost,2026-05-01,future
