month,gc_id,fmv,segment,manufacturer,model_name,model_number,condition,region,launch_year,thermalDesignPower,capacity,type,clockSpeed,fill_method,gap_filled,is_synthetic,capacity_gb,tdp_w,clock_mhz,gpu_tier_flag,gpu_type_enc,manufacturer_enc,condition_enc,fmv_lag_1m,fmv_lag_2m,fmv_lag_3m,fmv_lag_6m,fmv_lag_12m,roll_mean_3m,roll_std_3m,roll_mean_6m,roll_std_6m,roll_mean_12m,roll_std_12m,mom_1m,mom_3m,mom_6m,mom_12m,vol_ratio_3_6,pct_from_roll_mean_12,trend_slope_pct,trend_r2,month_sin,month_cos,months_elapsed,fmv_lead_4m,ea2_ai_demand_index,ea2_major_gpu_launch,ea2_datacenter_expansion,ea1_supply_pressure_index,ea3_new_export_control,ea3_new_tariff_action,ea3_policy_risk_index,ea1_dram_shortage_active
2021-12-01,191441,65.07359305731212,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,0.0,45.4480938431501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,191441,57.41226208400512,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,65.07359305731212,,,,,,,,,,,-11.77333325756187,,,,,,,,0.49999999999999994,0.8660254037844387,1.0,42.48618388608614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,191441,42.1074178210627,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,57.41226208400512,65.07359305731212,,,,61.24292757065862,5.417379084139914,,,,,-26.6577969712263,,,,,,,,0.8660254037844386,0.5000000000000001,2.0,36.168569534265245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,191441,38.3299348646064,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,42.1074178210627,57.41226208400512,65.07359305731212,,,54.86442432079332,11.693156511236186,,,,,-8.9710629431348,-41.097558834889966,,,,,-18.831916,0.953716,1.0,6.123233995736766e-17,3.0,36.07844860910321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,191441,45.4480938431501,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,38.3299348646064,42.1074178210627,57.41226208400512,,,45.94987158989141,10.104807828516124,,,,,18.570756782361663,-20.83904693277746,,,,,-11.743169,0.679431,0.8660254037844387,-0.4999999999999998,4.0,36.85701150906269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,191441,42.48618388608614,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,45.4480938431501,38.3299348646064,42.1074178210627,,,41.961815509606396,3.5613125158825403,49.67426033402729,11.189586996241907,,,-6.517126916886918,0.8995233728960272,,,0.3182702379523596,,-8.99451,0.611708,0.49999999999999994,-0.8660254037844387,5.0,32.93280399321836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,191441,36.168569534265245,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,42.48618388608614,45.4480938431501,38.3299348646064,65.07359305731212,,42.08807086461422,3.5757401044196007,48.476247592703764,10.429616142860379,,,-14.869808897781134,-5.638844255738473,-44.41897575501851,,0.3428448425561072,,-8.655774,0.679605,1.2246467991473532e-16,-1.0,6.0,31.072777236032877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,191441,36.07844860910321,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,36.168569534265245,42.48618388608614,45.4480938431501,57.41226208400512,,41.36761575450049,4.739808946418145,43.65874367219595,7.491881779780479,,,-0.24916917180441978,-20.616145676831444,-37.15898433628422,,0.6326593352300638,,-7.893045,0.69754,-0.4999999999999997,-0.8660254037844388,7.0,29.581296521819635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,191441,36.85701150906269,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,36.07844860910321,36.168569534265245,42.48618388608614,42.1074178210627,,38.244400676484865,3.6737683709278044,40.10310809304563,3.823291809953573,,,2.1579722243462163,-13.249418663056145,-12.469076907807175,,0.9608914395086197,,-6.922762,0.678101,-0.8660254037844384,-0.5000000000000004,8.0,29.79541790463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,191441,32.93280399321836,GPU,Nvidia,GRID,K1,Used,US,,,16GB,GDDR3,,bootstrap,True,True,16.0,,,1,1,1,2,36.85701150906269,36.07844860910321,36.168569534265245,38.3299348646064,,36.36800988414371,0.425878371331723,39.22804037437896,3.873324819673593,,,-10.647112598587693,-8.946346462448284,-14.080720174590533,,0.10995162842232581,,-6.618519,0.707928,-1.0,-1.8369701987210297e-16,9.0,24.778805052813254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
