month,gc_id,fmv,segment,manufacturer,model_name,model_number,condition,region,launch_year,type,connector,interface,ports,dataTransferRate,fill_method,gap_filled,is_synthetic,speed_gbps,ports_n,adapter_type_enc,connector_enc,interface_enc,manufacturer_enc,condition_enc,fmv_lag_1m,fmv_lag_2m,fmv_lag_3m,fmv_lag_6m,fmv_lag_12m,roll_mean_3m,roll_std_3m,roll_mean_6m,roll_std_6m,roll_mean_12m,roll_std_12m,mom_1m,mom_3m,mom_6m,mom_12m,vol_ratio_3_6,pct_from_roll_mean_12,trend_slope_pct,trend_r2,month_sin,month_cos,months_elapsed,fmv_lead_4m,ea1_supply_pressure_index,ea3_new_tariff_action,ea3_policy_risk_index
2021-12-01,50962,123.009238882261,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,-2.4492935982947064e-16,1.0,0.0,46.2413340448892,0.0,0.0,0.0
2022-01-01,50962,117.6923693166838,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,123.009238882261,,,,,,,,,,,-4.322333520546595,,,,,,,,0.49999999999999994,0.8660254037844387,1.0,49.12458562223944,0.0,0.0,0.0
2022-02-01,50962,105.465588529932,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,117.6923693166838,123.009238882261,,,,120.3508040994724,3.759594524504016,,,,,-10.388762549126918,,,,,,,,0.8660254037844386,0.5000000000000001,2.0,44.73359825938492,0.0,0.0,0.0
2022-03-01,50962,63.64840289551329,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,105.465588529932,117.6923693166838,123.009238882261,,,115.38906557629225,8.995766949602992,,,,,-39.650075647708206,-48.25721752783567,,,,,-18.575114,0.834635,1.0,6.123233995736766e-17,3.0,45.92644202991488,0.0,0.0,0.0
2022-04-01,50962,46.2413340448892,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,63.64840289551329,105.465588529932,117.6923693166838,,,95.60212024737636,28.339964388719455,,,,,-27.348791263780715,-60.7099981813909,,,,,-22.758099,0.917273,0.8660254037844387,-0.4999999999999998,4.0,69.30947299198333,0.0,0.0,0.0
2022-05-01,50962,49.12458562223944,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,46.2413340448892,63.64840289551329,105.465588529932,,,71.7851084901115,30.438997409197835,91.21138673385586,34.26934426556883,,,6.235225771279196,-53.4212188952063,,,0.8882281835716527,,-21.228926,0.905619,0.49999999999999994,-0.8660254037844387,5.0,54.08481790548761,0.0,0.0,0.0
2022-06-01,50962,44.73359825938492,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,49.12458562223944,46.2413340448892,63.64840289551329,123.009238882261,,53.004774187547305,9.329705727907562,84.19691988191978,35.13868006079795,,,-8.938472064925984,-29.717642196269022,-63.633952485307276,,0.2655109899337436,,-19.602423,0.88434,1.2246467991473532e-16,-1.0,6.0,40.53556898514594,0.0,0.0,0.0
2022-07-01,50962,45.92644202991488,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,44.73359825938492,49.12458562223944,46.2413340448892,117.6923693166838,,46.69983930883785,2.2311124608562842,71.1509797781071,32.25961100268065,,,2.6665500137353915,-0.6809751956304622,-60.97755334813839,,0.06916117062511656,,-17.43518,0.839124,-0.4999999999999997,-0.8660254037844388,7.0,42.35266336234277,0.0,0.0,0.0
2022-08-01,50962,69.30947299198333,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,45.92644202991488,44.73359825938492,49.12458562223944,105.465588529932,,46.594875303846415,2.270527424732156,59.189991896978945,23.72845333389787,,,50.91409203185728,41.08917584559917,-34.2823816203209,,0.09568796553159821,,-12.765927,0.631005,-0.8660254037844384,-0.5000000000000004,8.0,50.01466534399733,0.0,0.0,0.0
2022-09-01,50962,54.08481790548761,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,69.30947299198333,45.92644202991488,44.73359825938492,63.64840289551329,,53.32317109376104,13.85738450614155,53.16397264065417,10.566864185042204,,,-21.966196580742537,20.90424202381449,-15.025648020933824,,1.3113998877507294,,-11.043345,0.590263,-1.0,-1.8369701987210297e-16,9.0,41.07924363629999,0.0,0.0,0.0
2022-10-01,50962,40.53556898514594,NetworkAdapter,Intel,,X520-DA2,Used,US,,SFP+ Adapter,Ethernet,PCIe,2,10Gb,bootstrap,True,True,10.0,2,2,0,1,1,0,54.08481790548761,69.30947299198333,45.92644202991488,46.2413340448892,,56.440244309128595,11.868132093993966,51.57004180898323,9.316373530312015,,,-25.051852710346132,-11.738059397802925,-12.339101320485979,,1.2739004136512428,,-10.690302,0.617429,-0.8660254037844386,0.5000000000000001,10.0,32.2019751653171,0.0,0.0,0.0
